"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-886.493967146875,-877.921985522236,-877.137496996083,-876.782546409442,-877.137524599393,-876.782574555627
"2",-820.925298419356,-814.469505059276,-813.922913306588,-813.702437966004,-813.922899199467,-813.702430375466
"3",-886.137908440263,-878.024248407259,-874.621332973376,-874.621667183093,-874.380995796707,-874.403831894485
"4",-878.09794162157,-874.500299651453,-873.218857829193,-873.218983106423,-872.459122144689,-872.459181474579
"5",-831.687005082847,-828.319649621658,-828.556033748031,-828.301624645269,-828.555986883103,-828.301624833084
"6",-853.514177901261,-851.33558320047,-850.264570512781,-850.263072738717,-849.97849847668,-849.931954175992
"7",-902.004811928349,-898.70872315506,-899.182894014538,-898.667623104721,-899.182921842625,-898.667792171516
"8",-844.561662995447,-833.317284928463,-831.526607392052,-831.544869014714,-831.529813516245,-831.258335645487
"9",-872.738184835545,-868.778847054136,-869.163844894316,-868.781252017035,-869.163947646068,-868.779373562932
"10",-852.046807505682,-849.059089318215,-846.359382238537,-846.359869901128,-845.115327802652,-844.757296739873
"11",-849.95869872168,-846.318288829007,-844.585178681178,-844.585784149907,-844.062356071427,-844.053765095435
"12",-833.901418598535,-833.27921773071,-832.79806322941,-832.798173025597,-831.943367447724,-831.876180140926
"13",-866.015323757843,-857.727129076571,-854.479852713098,-854.055696121539,-854.479853254598,-854.055707991188
"14",-860.098479488275,-849.604905391184,-849.391221748471,-848.351522669248,-849.391230947203,-848.351521474632
"15",-893.008169254542,-887.97769510389,-885.065981350912,-885.065981072621,-883.843601236061,-883.843660341109
"16",-868.563492381857,-859.892680645069,-861.321185726837,-859.892764706864,-861.32115292208,-859.892752357374
"17",-899.896129846182,-890.210034588793,-885.886137613275,-885.886136025079,-885.33852655405,-885.339300463016
"18",-883.072053291869,-881.727325085118,-881.191076204077,-881.191369196471,-881.027281660188,-880.871241565667
"19",-843.309430723822,-840.402322474039,-840.203893188921,-840.136493983657,-840.203909812862,-840.142730819129
"20",-835.634174944813,-832.276359830321,-831.172193031422,-831.172175656809,-830.364135780361,-830.364053797863
"21",-871.674064911778,-863.500892404989,-865.255257736795,-863.50089553314,-865.255288789881,-863.500892806106
"22",-836.477246987212,-828.853888643254,-827.614882546821,-827.601207137219,-827.615350562035,-827.597345835614
"23",-853.506175181074,-849.511942521388,-845.489744188623,-845.490248006237,-845.380576280574,-844.757999059764
"24",-834.281417707647,-827.963368610472,-826.592909147906,-826.193548674578,-826.592895794604,-826.19353679962
"25",-845.830343287971,-839.637798900914,-837.193726641953,-836.997779259494,-837.194253764462,-837.01940642718
"26",-882.438514303189,-870.058604152689,-867.362630344181,-866.828668209206,-867.361859846713,-866.828640550644
"27",-892.594865343078,-890.032946496057,-889.954081804166,-889.949464164699,-889.953937656236,-889.939311943317
"28",-872.08469137452,-868.381132414694,-868.515778894186,-868.308271498981,-868.515757965458,-868.308524598023
"29",-881.609388184196,-874.299781988816,-870.966413194661,-870.860854098159,-870.966350700111,-870.860850768932
"30",-859.604192930356,-849.661700616841,-847.593287860165,-847.414052713835,-847.593355939679,-847.414150008951
"31",-879.009277904799,-867.321587182836,-866.403862974321,-866.139821161245,-866.403856698424,-866.070302042035
"32",-895.957695222499,-883.433997970521,-885.236654522823,-883.438363921012,-885.237666744893,-883.398126261184
"33",-882.167519307746,-874.652278581339,-875.946962666244,-874.650923693776,-875.946797861704,-874.645236082863
"34",-833.555821403111,-829.504639733803,-829.735168963785,-829.503647338019,-829.735018332275,-829.447650318065
"35",-870.041677956359,-868.935603050317,-868.730041344439,-868.730085557936,-868.541072616055,-868.412504791671
"36",-891.531348603469,-877.040138629204,-879.417123781145,-876.483865960853,-879.417107899401,-876.483603103943
"37",-853.733558839986,-851.607473346642,-851.138987809802,-878.006926907558,-851.124365767043,-851.104486441763
"38",-864.8107391875,-861.040588942163,-861.900164553692,-861.040723216034,-861.900163909492,-861.040581427103
"39",-848.780078311999,-839.84686937021,-841.324884073073,-839.846868825687,-841.324884339685,-839.846892004548
"40",-829.297184071614,-828.858594263808,-828.826708775121,-828.856206247585,-828.826102457611,-828.797200028465
"41",-844.548555219907,-837.405496571027,-836.134514564644,-836.135177080545,-836.131954164175,-836.131695838486
"42",-860.933734606875,-857.434083768996,-857.044879385952,-857.044900643128,-857.029276024021,-857.031713283184
"43",-870.265442702978,-867.234303563006,-867.075613266515,-867.069347840819,-867.075585619791,-867.026536954846
"44",-885.580824717235,-875.562746351786,-877.995160644241,-875.475800962471,-877.995164385105,-875.475749234538
"45",-848.584382083007,-846.413240328936,-844.908480371745,-844.908384875956,-844.35516211521,-844.076938010074
