"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-807.138154857834,-806.513545914513,-804.943716015345,-804.944134226899,-804.308345189846,-804.30532772499
"2",-835.597488865662,-834.374155507295,-834.713609921905,-834.374249203089,-834.713671977993,-834.37422679446
"3",-852.327511324384,-849.61064333657,-849.298236610314,-849.068628373038,-849.298129348933,-849.068721422904
"4",-810.802126553907,-809.923420839348,-810.335316352268,-809.923135255611,-810.335518297643,-809.923563895744
"5",-800.756870234318,-795.964647082903,-795.690416112595,-795.2545071441,-795.690610181552,-795.254554694073
"6",-883.124198236373,-880.053759995871,-880.40559158927,-879.953694451087,-880.405949325229,-879.95404694099
"7",-874.932852021342,-872.256309577298,-872.507403919844,-872.233851250978,-872.50739496923,-872.233941452033
"8",-832.175823414842,-831.858743289351,-831.696074925785,-831.694512237289,-830.944711649956,-830.944777709098
"9",-855.526693234927,-852.810216427641,-853.309780418539,-852.810595351107,-853.310008535511,-852.818005601028
"10",-881.62434499059,-881.406194428198,-880.798482948966,-880.835133049531,-878.974805083712,-878.970051676199
"11",-858.670866958096,-858.4380254996,-858.286950915922,-858.287136999148,-857.031861496704,-857.031358234384
"12",-847.876366973664,-847.87625332723,-847.875982816316,-847.876391899879,-847.876447614806,-848.017455934004
"13",-787.423134750544,-782.669715735172,-783.432378296397,-782.669651621343,-783.432356427139,-782.601442787955
"14",-831.334293924707,-827.056120107696,-825.91822779479,-824.778542310739,-825.918216926198,-824.778491486426
"15",-872.574628305075,-869.632829979584,-869.613126404692,-869.389178004673,-869.613428387615,-869.373572368675
"16",-807.798476084276,-806.480871440373,-806.056822885999,-806.043980904603,-806.056620025651,-806.05699783554
"17",-853.132445146634,-852.728987328199,-852.855692436385,-852.72912874165,-852.855574483529,-852.729110908631
"18",-859.182059485325,-855.632124569482,-855.284640446355,-855.263121052862,-855.284629293306,-855.251095041398
"19",-847.029055465079,-846.934008031293,-846.961112106096,-846.933748869551,-846.960631303963,-846.934540212872
"20",-858.370574234885,-855.925738771751,-855.638759317403,-855.635998796299,-855.605882086468,-855.607969380116
"21",-886.106913755594,-883.952564242378,-884.139587488892,-883.952753582842,-884.139574186586,-883.914275243965
"22",-849.258758194463,-847.364619944042,-846.491333729423,-846.438939073451,-846.491056766125,-846.438722754461
"23",-847.828043178757,-847.75167708996,-847.696009522825,-847.69659245987,-846.479363820774,-846.478302311849
"24",-861.816468077522,-860.40577877246,-859.049882543607,-859.049544988245,-858.845889461376,-858.845712518937
"25",-867.76385587685,-867.763887152566,-867.763843333089,-867.763948229442,-865.101924935928,-865.102102737387
"26",-857.306183083369,-853.228030012551,-852.255845510134,-852.151633219904,-852.256492504063,-852.151321482591
"27",-837.494236517251,-836.362963327004,-836.752411950344,-836.362894044635,-836.752310337798,-836.362949777826
"28",-835.430027365868,-831.981039553871,-832.949497213528,-831.980808809666,-832.948978096538,-831.98070288922
"29",-919.262774520174,-913.318101084303,-913.353329611989,-912.099839017946,-913.35336268238,-912.099812097892
"30",-809.040907203678,-805.467791524588,-805.951030356186,-805.468704726016,-805.950846184918,-805.371754291228
"31",-902.011482991274,-900.233106750397,-900.026203704787,-900.018311533737,-900.026253695413,-900.011677780294
"32",-810.324419255565,-810.190689787061,-810.152586638857,-810.15262418522,-810.135264889228,-810.119517170221
"33",-824.422741433611,-819.35242481858,-820.741226740555,-819.293988330846,-820.741126452921,-819.294125745823
"34",-829.465532105985,-825.591249482337,-824.691930437377,-824.607420623233,-824.692324899672,-824.605635908855
"35",-844.141306010764,-844.036753789459,-843.645298414226,-843.645425568088,-842.621231316555,-842.620695586119
"36",-801.187479306417,-800.395115929072,-800.644667562363,-800.394760740067,-800.644695365065,-800.395041134903
"37",-897.610018747599,-895.846972900977,-894.758413999691,-894.733961037167,-894.758569458408,-894.733994963309
"38",-853.690298400327,-852.462532924462,-850.116825782734,-850.115983745457,-849.283425316135,-849.288546083395
"39",-835.410303598664,-835.410243727389,-835.410592218727,-835.418290562808,-834.930260181857,-834.931280033744
"40",-873.06987661165,-868.162257798242,-868.973727153803,-868.084338821299,-868.973636018888,-868.084449908199
"41",-831.828695370055,-829.820074054723,-827.90480811676,-827.904786059858,-827.477345973249,-827.477221587828
"42",-830.231367240044,-829.21000812841,-827.973781319102,-827.974850232892,-825.54400678313,-825.547148970295
"43",-848.578894019951,-848.578888296853,-848.578936314345,-848.578865056179,-847.292407579615,-847.292747616969
"44",-829.912120628514,-829.206691410336,-824.560614709708,-824.560662724736,-821.786462516162,-821.78316520012
"45",-839.991476588071,-839.937555081829,-839.7789542435,-839.778957117436,-838.926704333543,-838.926525213132
"46",-836.372029868818,-836.258843980935,-836.117263740188,-836.119396258556,-835.48901066854,-835.488918707127
"47",-881.657848730322,-879.634634582936,-878.586883625473,-878.588530947608,-878.582634776225,-878.576633750759
"48",-867.071388895097,-866.419733151225,-866.545254992176,-866.4023621135,-866.545257633013,-866.402360288964
"49",-887.865454419806,-882.93375593181,-881.952039171801,-881.57001080201,-881.952083680428,-881.537772250131
"50",-894.664909417432,-888.536438798552,-887.665710947172,-887.660355380544,-887.665703150817,-887.296417805092
"51",-853.50593957337,-850.671782746251,-851.691428316661,-850.671548084974,-851.691282213128,-850.672350367355
"52",-813.6539071564,-811.965420324441,-811.700882462494,-811.682437281386,-811.701194915294,-811.681544143423
"53",-856.417710240758,-853.493864474964,-853.293747971506,-853.173471394396,-853.293243789004,-853.173504042395
"54",-865.933522082772,-864.906483755015,-864.716408221996,-864.906436829746,-864.647054089477,-864.64699890218
"55",-895.461611964679,-891.646520546446,-890.664382976882,-890.663086856856,-890.663506638817,-890.585532226149
"56",-842.815673046229,-838.375933468403,-837.632772994524,-837.632683438242,-837.614303150498,-837.63421634737
"57",-870.876650181915,-866.114450179602,-863.476760574005,-863.436706907031,-863.476822505448,-863.384004198335
"58",-857.731426997199,-856.810603156337,-856.356085227128,-856.810892238213,-856.105537405225,-856.105480466961
"59",-810.952292896657,-810.903046825201,-810.919776701015,-810.903353636308,-810.919948430626,-810.903437025356
"60",-851.653167376011,-851.058106557938,-850.927384888144,-850.927361963727,-850.819948076632,-850.819934453974
"61",-841.389467585828,-838.234537509229,-839.1398268654,-838.237968773367,-839.146061255201,-838.237749745315
"62",-866.786141696461,-864.287950266712,-864.073127845061,-864.070888578304,-864.073160156286,-864.038980447041
"63",-866.289388042751,-866.149713060784,-866.194492625246,-866.149497812869,-866.194612713523,-866.149404381803
"64",-784.169904460309,-783.649242146138,-783.800950471475,-783.648838022187,-783.801453035622,-783.649297715843
"65",-781.209986265445,-780.022609596874,-779.228048147349,-779.228255906247,-779.227807084649,-779.228082404625
"66",-850.000910260926,-846.496138369143,-846.614136416368,-846.354988909573,-846.614126313863,-846.353572666008
"67",-875.497594779401,-873.935778724356,-873.961943771898,-873.869918138042,-873.961797486718,-873.870218728501
"68",-846.314862528062,-844.530614757396,-843.834904724814,-843.834481435565,-843.838065058204,-843.834265224659
"69",-860.217823152904,-857.723143000523,-857.501816445857,-857.37194422996,-857.501832028284,-857.37193363433
"70",-828.191521884713,-825.898167014696,-824.25694255489,-824.256165204266,-824.12660116953,-824.127424531477
"71",-848.478933313742,-847.029169548841,-847.73956632478,-847.029037435706,-847.739463548064,-847.028873594802
"72",-868.421439499667,-867.784899909493,-867.969352518853,-867.78471719114,-867.968453648552,-867.784776950896
"73",-824.596450326651,-823.871132945977,-823.71411823952,-823.713971010177,-823.664160936406,-823.664174221341
"74",-866.42054968446,-865.640500890889,-865.933482347497,-865.641343209187,-865.93354743894,-865.640374685635
"75",-837.348859765489,-830.865168914119,-832.048302656721,-830.8187142213,-832.048021888327,-830.81715404829
"76",-858.226781554751,-856.357759777367,-856.681459736833,-856.358778565918,-856.681460683081,-856.355927091688
"77",-855.193583406001,-853.87094403057,-853.235672919539,-853.235702673591,-853.095476468866,-853.095926431257
"78",-889.690379756958,-886.936552150639,-886.25565247467,-886.202108732272,-886.254385752175,-886.201470258067
"79",-857.27164321072,-855.55185338617,-854.375523395566,-854.375455818515,-853.893950547392,-853.895122047958
"80",-855.266361863279,-854.815845828834,-854.152070142583,-854.152088151317,-852.845130527808,-852.810031844933
"81",-798.664772339232,-797.261392772501,-796.530325953898,-796.518024540742,-796.530384818072,-796.518078324018
"82",-886.560739715261,-880.971926312429,-881.451933520182,-880.702340675241,-881.452514841756,-880.701928654354
"83",-805.475680356336,-804.166222804128,-804.359746658582,-804.154142602763,-804.359737371721,-804.154141754239
"84",-831.436230181434,-829.950352209289,-830.282159222673,-829.950339142097,-830.282271756265,-829.950508359316
"85",-847.770986328338,-845.961929184955,-846.271095194638,-845.962905810666,-846.27078526779,-845.962168001306
"86",-829.857206679222,-826.953881420826,-823.366746295135,-823.368005595778,-823.366746224408,-823.202045661579
"87",-865.41806829795,-865.132967298404,-865.217193457994,-865.13296258667,-865.217084638411,-865.133786499823
"88",-813.36818336114,-812.270579313364,-812.27195307027,-812.26162376046,-812.273335852176,-812.251139239267
"89",-839.991771430788,-839.267490270783,-838.277085470929,-838.277094753125,-837.996712513452,-837.996714457048
"90",-862.950693737435,-860.098751327169,-859.536501458266,-859.536651212525,-859.477601541082,-859.477166791042
"91",-844.691415146851,-840.608778890433,-841.28870784625,-840.60657576124,-841.288066506117,-840.609292878534
"92",-876.934336284657,-873.830826780005,-870.50422198684,-870.504223843712,-870.503650562218,-870.493642063556
"93",-815.242254106095,-813.029906020418,-812.940760455753,-812.748681542163,-812.940883625513,-812.748619007821
"94",-833.620417821662,-833.61588112689,-833.583557216258,-833.583636464233,-832.330260000339,-832.330483235781
"95",-840.405855659694,-839.483031998524,-839.468293848476,-839.429513736338,-839.468209985967,-839.429588021538
"96",-808.57029431834,-805.594573798049,-804.758308351269,-804.756267744924,-804.75848420593,-804.650044210742
"97",-819.546743110619,-819.160650373241,-819.327177536142,-819.166739188066,-819.327167929933,-819.167989335133
"98",-838.531245232321,-836.671500521932,-836.764648492277,-836.671473147887,-836.664820017448,-836.66477130083
"99",-854.05125092145,-853.267433085149,-853.216617876024,-853.267065291657,-853.217326526658,-853.215846298777
"100",-827.827936459331,-826.394228623133,-823.598145837251,-823.597883038106,-822.750856214294,-822.680992370615
"101",-870.688006364817,-869.967795902195,-869.528689223692,-869.528532047087,-869.528676063524,-869.52642729098
"102",-814.690956876002,-813.990145044278,-813.27618097056,-813.276270532803,-812.941843730508,-812.784868989984
"103",-866.092258602775,-862.259525555705,-863.142223364322,-862.259711097641,-863.142016010098,-862.252895352697
"104",-824.926058163413,-823.763960436291,-823.54606768489,-823.545834081671,-823.510285950861,-823.509100292083
"105",-860.118135725626,-859.80908599303,-859.633997786713,-859.634189546797,-859.012271198583,-859.01219547033
"106",-822.002437906253,-821.787696826554,-821.583964911398,-821.583936003624,-821.53080989378,-821.467898494747
"107",-806.130054101429,-805.326242734101,-805.065922552015,-805.065702099947,-805.065920295442,-805.065684691922
"108",-840.384660228846,-840.276524101274,-840.148947693313,-840.164032716812,-838.560315491263,-838.560292515543
"109",-790.079133753281,-788.969254100342,-789.146460541656,-788.968103525562,-789.146458957324,-788.968063146572
"110",-776.494111904657,-775.759186857973,-774.558768734107,-774.558759077691,-774.547934982023,-774.540191385449
"111",-826.624383510832,-821.696124561809,-821.780551781982,-821.414766553978,-821.780544836807,-821.207137887797
"112",-862.091800639745,-859.391673892735,-859.146019250608,-859.062784522509,-859.144889340875,-859.062610185601
"113",-860.065925042198,-856.451703603367,-856.268814910409,-856.17524173477,-856.268896907824,-856.027713239834
"114",-886.698881348234,-886.536773876079,-886.499641428048,-886.499309323363,-886.270139855592,-886.270350360004
"115",-830.105354751684,-829.216410659725,-827.130198489512,-827.120611152889,-827.005701717898,-826.781087201506
"116",-796.551336454924,-794.967811180868,-795.121623756394,-794.966307649323,-795.12165809352,-794.963988101058
"117",-773.689620609231,-773.065425284539,-772.419199290071,-772.419173638439,-772.257568812711,-772.263239143711
"118",-822.134236689042,-821.759565202022,-821.574333961255,-821.565700973256,-821.574497889158,-821.550240651506
"119",-820.273884879758,-818.225317990595,-818.387471387063,-818.174006186505,-818.387906598532,-818.172880587351
"120",-810.905371396009,-807.770815718716,-806.896816214474,-806.900983640283,-806.839437204078,-806.839270964889
"121",-838.97642389932,-837.92875695742,-838.06303636881,-837.928238885208,-838.063209446516,-837.928247186714
"122",-868.764304544747,-868.47404519365,-868.481404652889,-868.473314821071,-868.479186531231,-868.473471903912
"123",-867.654028223506,-867.53430844484,-867.428636462083,-867.428730121037,-866.416463853046,-866.418847626118
"124",-840.204172175923,-840.2038824099,-838.562985548038,-838.563056968226,-832.053444068698,-832.053530211494
"125",-838.474439196771,-837.709220592803,-836.81145053926,-836.811523847403,-836.54431324989,-836.380099618071
"126",-854.222790170959,-849.674302510502,-848.840677294108,-848.6577148413,-848.83973326771,-848.656595088766
"127",-883.240704300493,-877.208224256344,-875.905772036059,-875.272118120567,-875.905375079015,-875.271994743357
"128",-849.257529940001,-848.408113734126,-847.74759328433,-847.74898713299,-847.424418713573,-847.424946425837
"129",-813.298108007461,-811.093880776251,-810.97030681855,-810.970417888308,-810.96834155056,-810.96850760502
"130",-937.958381245697,-936.72302069714,-935.88966217787,-935.889918969552,-935.549407986215,-935.336848028756
"131",-830.727015117137,-829.17755926337,-829.20880934181,-829.131272971201,-829.208837294118,-829.131096386263
"132",-848.299957349209,-847.166036170359,-847.38566271532,-847.165951540853,-847.385437535883,-847.162850615734
"133",-802.399571250865,-799.048391390482,-798.708022654464,-798.54286773927,-798.707706258469,-798.540112296864
"134",-770.821490696868,-769.835722112,-769.903687024042,-769.835706173054,-769.903710029917,-769.834235477817
"135",-840.098038312041,-837.068362621144,-835.907965389736,-835.773880023285,-835.908184003746,-835.773977890049
"136",-846.535528300908,-845.667085191812,-845.374981847298,-845.375596224159,-845.13738158437,-845.137100093767
"137",-837.060045832518,-835.645567001062,-834.252623264823,-834.251045326873,-833.690885692572,-833.691376317166
"138",-874.433353925825,-873.759654331499,-873.892058066426,-873.759647926605,-873.89206221979,-873.75949675302
"139",-835.697585547552,-835.128713250571,-835.148517678268,-835.129504680972,-835.148487167985,-835.095796906369
"140",-841.08449941648,-841.060182505439,-841.046980041369,-841.058441635227,-840.918973629998,-840.918975613768
"141",-775.309632688202,-775.309557525675,-775.309459849402,-775.309602818964,-775.310039852477,-775.309654111856
"142",-804.5096126539,-803.043812945676,-801.060437062313,-801.060246841829,-800.918860420784,-800.912783249693
"143",-857.492200706286,-854.27993936636,-852.349565607303,-852.349954211768,-852.349883246462,-852.073113532496
"144",-823.409683188568,-822.200605777942,-822.480444320592,-822.208288347914,-822.482272460287,-822.200648095488
"145",-846.309708278441,-840.820532619173,-838.557476639044,-838.513598289324,-838.557474125897,-838.512055402626
"146",-853.233964591279,-853.115626734197,-853.150090866388,-853.116119125949,-853.150034451937,-853.115788385956
"147",-831.467844467903,-830.917299646402,-830.914139685938,-830.914173816586,-830.914748759848,-830.914514526411
"148",-880.144420448487,-877.690325399649,-877.192051804371,-877.189617288894,-877.191377559005,-877.190285748741
"149",-886.285885913949,-882.901564176611,-882.172456023259,-882.048736257889,-882.172498694759,-882.048566160895
"150",-831.389232394152,-830.715460596387,-830.670220002821,-830.673174772451,-830.670110740177,-830.674899021371
"151",-844.737814780622,-840.987478516107,-841.343426496807,-840.987594407694,-841.343451080945,-840.933941331009
"152",-869.589452945337,-865.946227541552,-862.713774728111,-862.5696421075,-862.713456031042,-862.682983974485
"153",-814.100590965205,-814.10014296631,-814.100969004354,-814.100263011937,-814.09514708685,-814.09526891715
"154",-817.588988171435,-815.477298461621,-814.447926774282,-814.448179461164,-814.272879763917,-814.273842044258
"155",-810.826163102884,-807.855048892063,-807.360153218168,-807.361381210093,-807.354466162364,-807.351884991199
"156",-860.544078132469,-856.801221156914,-855.925021425669,-855.876810472813,-855.924811290246,-855.876477387316
"157",-850.269823058944,-847.957181625953,-847.460554550949,-847.461145166241,-847.459522216528,-847.45959267732
