"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-1252.98351681819,-1250.13442634546,-1248.8015681994,-1248.79432901113,-1248.80156884802,-1248.79432903885
"2",-1207.2719404939,-1202.26998112178,-1202.18042255375,-1201.9450774828,-1202.18042249238,-1201.85628633285
"3",-1248.34243581155,-1245.64163022069,-1244.33959349864,-1244.33955508455,-1243.83546896499,-1243.83594217478
"4",-1229.7103869328,-1227.96138402596,-1227.55163646306,-1227.55164050108,-1227.40863891159,-1227.40864584308
"5",-1188.36006407288,-1188.32771303288,-1188.33483584914,-1188.3276737834,-1188.33475875053,-1188.32910354034
"6",-1241.43571353774,-1232.98718188667,-1234.85681058868,-1232.98712568819,-1234.85678455925,-1232.92384719334
"7",-1247.77828666949,-1246.1827843203,-1246.46498015206,-1246.18277036959,-1246.46497528573,-1246.18274974528
"8",-1219.83070851618,-1215.7964645537,-1215.09072199636,-1215.09072372172,-1215.07477744336,-1215.07478313737
"9",-1259.49458926485,-1256.99129190855,-1257.2697542353,-1256.99138365748,-1257.2697502457,-1256.991520123
"10",-1225.64264845505,-1225.36599693578,-1224.04298899509,-1224.0429887163,-1221.32969998043,-1221.32968744327
"11",-1228.61953469383,-1225.57051254769,-1223.37814141892,-1223.37814477328,-1223.26302215413,-1223.14197307807
"12",-1159.2408247693,-1153.72302979858,-1153.03726976113,-1152.69155904732,-1153.0372990186,-1152.69394282654
"13",-1242.41096761592,-1231.69742265201,-1226.38409766471,-1225.8688037246,-1226.38410000843,-1225.80178201281
"14",-1223.41441065939,-1214.98616057824,-1213.57683865113,-1213.41747197544,-1213.5768610583,-1213.31386739567
"15",-1246.09413931996,-1245.78793184912,-1245.68837303321,-1245.68843155026,-1244.87095768886,-1244.86854719411
"16",-1230.84650911998,-1221.31948126803,-1222.09431197962,-1220.61918352585,-1222.09432114056,-1220.61901004242
"17",-1253.85724939444,-1246.54168889334,-1246.87816987621,-1246.21515462496,-1246.87724652892,-1246.21477826957
"18",-1204.26490132003,-1202.52528797381,-1201.83561429973,-1201.75438877925,-1201.83561808321,-1201.75439468533
"19",-1219.37127714564,-1216.07290900379,-1216.02637647005,-1215.83615118154,-1216.02637611593,-1215.83615103354
"20",-1203.58872854641,-1198.94064271641,-1197.57469666995,-1197.5407244479,-1197.57342638733,-1197.54069975751
"21",-1243.10520821483,-1242.21514838552,-1241.9777655736,-1241.97767043461,-1241.97776661032,-1241.93636264851
"22",-1215.32881365294,-1206.1040467641,-1208.01807998453,-1205.94668619782,-1208.0180860226,-1205.94668982894
"23",-1220.99540852801,-1218.3792238707,-1217.76234605448,-1217.76234604666,-1217.70610069412,-1217.70610026397
"24",-1225.01037444702,-1224.48582565613,-1223.15565215106,-1223.15563861867,-1218.95090660545,-1218.95087318846
"25",-1215.53372453151,-1209.1899965376,-1209.75631009501,-1208.73477963465,-1209.75631005883,-1208.73478021281
"26",-1235.26755137913,-1232.27295694792,-1231.73820315849,-1231.73818032165,-1231.39204328431,-1231.39201981426
"27",-1222.5155944706,-1222.42640557805,-1222.40451363912,-1222.40451384883,-1222.27795388894,-1222.27795034309
"28",-1228.54603088344,-1221.6046636633,-1222.39051093864,-1221.57875956766,-1222.39054570018,-1221.5716608847
"29",-1252.39017183129,-1250.61568753719,-1249.52205273933,-1249.52238845348,-1248.98905031737,-1248.7003796081
"30",-1226.23896694957,-1220.94349874473,-1219.39930079106,-1219.25387225529,-1219.39936231911,-1219.25387234201
"31",-1238.29710189332,-1234.06942612445,-1235.28467255783,-1234.06942990093,-1235.28467287083,-1234.06991788438
"32",-1221.35996134015,-1221.14613792676,-1221.2286761309,-1221.14613326188,-1221.22873166979,-1221.22341915636
"33",-1250.87046204463,-1248.77955033898,-1249.34445768555,-1248.77955257043,-1249.34448557452,-1248.77968357391
"34",-1227.12656022471,-1224.55905986454,-1222.28946096964,-1222.28095856455,-1222.28946897642,-1221.99558471063
