"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-442.431151444073,-439.338099942215,-439.078490313185,-438.90604674065,-439.079084451552,-438.906772813692
"2",-418.47972194969,-411.416199977805,-412.713968256552,-411.186200121318,-412.714029971999,-411.1862610144
"3",-461.358241167279,-458.880683600915,-458.600365119386,-458.598423270673,-458.599718597265,-458.598446152175
"4",-469.090095437555,-460.024629498751,-458.126123138378,-457.171588110206,-458.124845754151,-457.173097300656
"5",-444.294746587241,-442.290316560706,-441.741748485405,-441.74318045781,-441.741634860413,-441.740952881014
"6",-442.554039740342,-443.332444441845,-440.134634267614,-440.134695313436,-439.746612959405,-439.746704310845
"7",-437.106290754762,-437.106283355746,-437.106276231486,-437.106275646071,-435.382776597372,-435.382787837717
"8",-435.878812211004,-435.534891654193,-435.560850563705,-435.547268720638,-435.561620800988,-435.535137857916
"9",-434.103303884134,-432.263763435151,-432.575709641907,-432.265147541863,-432.575418535699,-432.262729848179
"10",-432.41261308032,-430.954334551796,-431.199505231919,-430.978226651906,-431.201059832654,-430.948554722323
"11",-463.226110545518,-460.758860848347,-460.149721051298,-460.149425621963,-459.778171851583,-459.658520789514
"12",-407.577805022016,-411.624082132284,-411.433617859147,-411.443437305927,-411.276784355349,-411.275194804587
"13",-477.219094077881,-474.368549423601,-473.632664143868,-473.469628988515,-473.632680950704,-473.469599273551
"14",-427.124996635233,-423.801044795643,-421.51659785271,-420.735120172176,-421.516567917182,-420.738818346987
"15",-423.563931503308,-423.436387524358,-423.412464692844,-423.414340473608,-423.218380154201,-423.218205714298
"16",-444.863429633687,-441.646084939196,-442.937344038621,-441.645768722723,-442.937458610918,-441.646410214064
"17",-461.467244057699,-458.973921325199,-458.425411106079,-458.42289364068,-458.423612737973,-458.411778780213
"18",-474.399969914895,-466.570987033302,-469.395869380162,-466.566133934915,-469.397443615721,-466.563977320397
"19",-430.284299559472,-429.533557282925,-428.759849864296,-428.760686743478,-427.834329466988,-427.775449567012
"20",-438.66920031503,-438.670208449633,-438.678014442634,-438.672076254451,-436.731927806109,-436.740440975524
"21",-432.473083026053,-428.648407895958,-428.187061116378,-427.351990861494,-428.187258808556,-427.351661751773
"22",-434.964257189223,-431.423097871005,-430.899756502687,-430.838365847807,-430.899758634146,-430.89429873453
"23",-457.186142980258,-449.825954414649,-450.305590773479,-449.685680733744,-450.306401529359,-449.150905937076
