"","(Intercept)","beta_1","alpha_1","pi"
"1",1.14874364170024,0.199436498016648,1.40968921225906e-11,0.852230132584595
"2",1.25445396374951,0.130311002258744,0.199041600139624,0.807109893799261
"3",0.74507648959833,0.140376961997133,0.454846049655917,0.809299128231013
"4",1.03502588966723,0.213837234313387,0.0679526674074735,0.76176604313909
"5",0.39620411102421,0.183492726123067,0.484484890336629,0.80748964909476
"6",0.923228399317618,0.261017540166691,0.258913404642449,0.717060888527188
"7",0.517369275081467,0.184226918446695,0.520839997565048,0.772616131034836
"8",1.16118952890924,0.288722306913494,4.80668941324771e-10,0.778110130781089
"9",0.842929589543658,0.335091283085099,0.201297127153645,0.834121190891503
"10",0.843318695069183,0.161728651374931,0.411037775736987,0.780180582744364
"11",1.025546386313,0.231414043421102,0.222959900945757,0.804484815828513
"12",1.6071151557778,0.0870832374719549,3.42418794022377e-10,0.791908534968979
"13",0.579035182618654,0.158998754337072,0.413641633321634,0.802946068531121
"14",0.551134380543809,0.0925880308286526,0.477629925924714,0.727011354451283
"15",0.596478309693797,0.112209466153829,0.564400167585223,0.817889769038836
"16",0.356854539039023,0.100033705592527,0.666757541353425,0.867842216732442
"17",1.38458482097756,0.259367552053452,2.48813042274805e-09,0.801590641635878
"18",0.545064785555684,0.269443633277281,0.442427062443522,0.811699812453806
"19",1.08575763030652,0.290190148550357,0.0463628822146976,0.765376793400909
"20",0.775327450233411,0.302162548592262,0.313925751230856,0.803188619955246
"21",0.704023117008836,0.136546998406768,0.494708280993659,0.816443208164527
"22",0.88713732074781,0.0767776617518195,0.406716635162486,0.799038053955417
"23",1.21845245204138,0.290239816594624,0.0775887253928836,0.743709509225403
"24",0.469351934671078,0.136627126305779,0.591848491240218,0.859598188255725
"25",1.14793909620622,0.21684476361829,0.19112291392441,0.814014414741755
"26",0.725243514510211,0.273209735810176,0.375364637856912,0.746879769077495
"27",1.05489965511074,0.191097691305635,0.158772610519106,0.781149289203736
"28",0.866908331351004,0.202183794314371,0.285965613850035,0.821418276909769
"29",0.635751310859637,0.199141958318549,0.481089224958965,0.785368394278231
"30",0.351442108059457,0.193393556181095,0.586504772689371,0.737953560905915
"31",1.07662068731566,0.328267999562168,0.210123618546858,0.759753461106815
