"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-1642.76306732247,-1641.05261373977,-1640.360088471,-1640.36016938549,-1640.33424841295,-1640.32501960948
"2",-1618.59445771622,-1613.36314039282,-1612.81579087298,-1612.81581268358,-1612.81546278776,-1612.76206256601
"3",-1707.57283402063,-1700.82691771709,-1700.39665487495,-1699.96909918766,-1700.3954299414,-1699.97094652019
"4",-1658.17301179801,-1653.10102671275,-1655.02717027477,-1653.10120229664,-1655.0271158782,-1653.10321963992
"5",-1663.57487310172,-1652.57456308277,-1650.93884224888,-1650.21617965247,-1650.93877246182,-1650.21288385209
"6",-1733.47899779624,-1728.7355867806,-1728.1655740087,-1728.11545720823,-1728.16559162754,-1728.07276611327
"7",-1699.82334852031,-1691.97638686534,-1691.09273029358,-1690.83748163594,-1691.09272854935,-1690.83742768282
"8",-1659.35502693959,-1657.8662835721,-1657.06444136962,-1657.06433206934,-1656.48737761172,-1656.41596540152
"9",-1682.28757214521,-1679.06959975609,-1679.15926212435,-1679.02553460929,-1679.16048856967,-1679.02571080961
"10",-1659.56707623104,-1656.57648558952,-1654.07113285695,-1654.07118185525,-1653.6154268539,-1653.26660044054
"11",-1733.43337186356,-1733.16971080373,-1732.94151225185,-1732.94142348714,-1731.14817886015,-1731.14029219093
"12",-1682.51921368148,-1682.50191907898,-1682.50414482198,-1682.50196616384,-1682.50404819302,-1682.50198739187
"13",-1679.77374737521,-1674.95522449471,-1672.24812147395,-1672.24813862152,-1671.81459042937,-1671.81462847818
"14",-1709.6930061126,-1705.5978211974,-1704.45531941023,-1704.33132309197,-1704.45526783325,-1704.33131871919
"15",-1722.98089599998,-1714.91413461636,-1714.20757111885,-1713.53803079174,-1714.20659687917,-1713.53802212288
"16",-1657.05819957517,-1653.96473326246,-1653.00665025335,-1653.00844771268,-1653.00211076795,-1652.99168820713
"17",-1722.41872159736,-1720.2033686304,-1720.30799682966,-1720.2037238184,-1720.30810724348,-1720.19905813283
"18",-1702.28531333813,-1697.78296343388,-1697.4194193786,-1697.41935789417,-1697.19471803183,-1697.19470565935
"19",-1696.09170522369,-1693.91897140096,-1693.8471717598,-1693.85310856013,-1693.84500757062,-1693.84497767313
"20",-1694.2328764522,-1691.1781439241,-1691.04349736141,-1691.04066699061,-1691.04341966426,-1691.03817286053
"21",-1770.52314993302,-1762.13825051956,-1763.24969113408,-1762.13689686281,-1763.25217491464,-1762.06975042857
"22",-1689.64139587208,-1685.25116367945,-1682.60870630448,-1682.54317027894,-1682.60877779163,-1682.54295901262
"23",-1693.53298720794,-1692.41552142569,-1690.88048800798,-1690.87953155996,-1688.30913889353,-1688.30906908286
"24",-1719.23467673512,-1717.26698690852,-1715.72934486066,-1715.72918172276,-1715.25979430466,-1715.25981300197
"25",-1742.81382137611,-1741.69764814337,-1740.45517892924,-1740.45518171864,-1737.15724905948,-1737.15731544197
"26",-1688.2999122978,-1674.88531795529,-1672.81274618085,-1671.88003713976,-1672.81337276411,-1671.88083146521
"27",-1717.34008091614,-1710.66724356923,-1712.59914998883,-1710.66729492145,-1712.59913941632,-1710.66720436157
"28",-1688.88513861496,-1686.63900902996,-1686.22593059843,-1686.22568607847,-1686.22567223051,-1686.22604036755
"29",-1766.61259529548,-1761.34601917578,-1760.9298202217,-1760.48002101834,-1760.92985012969,-1760.4802757713
"30",-1654.62959250779,-1651.97815450402,-1651.7533953556,-1651.73346040355,-1651.7533960878,-1651.72604671187
"31",-1766.74411516604,-1764.7715109678,-1764.20720504952,-1764.20789357295,-1763.9962989025,-1763.99087390531
"32",-1683.58174056227,-1677.28227986981,-1676.83278059797,-1675.94546996468,-1676.8327679257,-1675.94569348038
"33",-1660.39648601057,-1656.59422385058,-1657.12287831045,-1656.53675490103,-1657.1228471768,-1656.53692115858
"34",-1707.09430684833,-1703.04290797613,-1698.58787853868,-1698.58842823711,-1698.52686001095,-1698.29540296923
"35",-1718.32346082834,-1715.42954117653,-1713.44184135499,-1713.44200819903,-1713.44184601787,-1713.40277760485
"36",-1584.72416889908,-1582.19754770081,-1582.71712716611,-1582.19784310301,-1582.71723349665,-1582.19804770317
"37",-1758.63777952897,-1755.3402212468,-1754.72862078329,-1754.70119193505,-1754.72946417413,-1754.70144311401
