"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-421.385385394411,-419.50671518395,-420.159516330599,-419.504526134793,-420.159636326753,-419.487388077083
"2",-403.894851591669,-402.526994460267,-402.940847119964,-402.527178426629,-402.940845132505,-402.526995101861
"3",-430.542573402607,-426.987229301399,-427.086501028623,-426.559486117783,-427.08649676579,-426.559534529092
"4",-426.563940558287,-425.638189762513,-424.242187624797,-424.242092334832,-423.419605316208,-423.410107281686
"5",-414.227149075749,-411.814487367549,-413.075381387708,-411.81442426074,-413.078002743707,-411.814367531833
"6",-421.025273367602,-418.98748088511,-419.182264255695,-418.9572474854,-419.181158291613,-418.870829013557
"7",-424.132243745667,-424.046086175837,-423.722220499804,-423.722462557529,-423.253573100265,-423.234654947864
"8",-420.392191731621,-420.343076511481,-420.329127001188,-420.328630669549,-420.271356187094,-420.271364457359
"9",-419.477417930603,-418.461799214508,-417.997526110121,-417.839157833616,-417.997527916038,-417.989446022504
"10",-428.705083132428,-428.705224258567,-428.705104669715,-428.705064624834,-426.763972096615,-426.763940544712
"11",-418.614068331048,-412.057471170242,-414.234224992277,-412.058082162559,-414.234686489681,-412.056973676687
"12",-405.177577252066,-405.154289404488,-405.167022762374,-405.154291914329,-405.167023362305,-405.154291167576
"13",-420.007680281266,-415.508425047035,-414.183217796568,-413.71903096775,-414.182922376165,-413.719432570406
"14",-423.433451689698,-423.353968608785,-422.54723739329,-422.547255302818,-421.799853965391,-421.800107054803
"15",-432.127787315705,-432.127735554754,-432.127747422049,-432.127818712182,-431.192845854028,-431.192706239322
"16",-436.707736852032,-436.599602902177,-436.328746244934,-436.328738426583,-435.933322745169,-435.932529353951
"17",-431.803865455579,-431.458657713671,-431.339476670369,-431.33874779301,-431.339434974096,-431.325353791127
"18",-462.966112246708,-460.307048170359,-459.571102626435,-459.173547986476,-459.571085221173,-459.176878010087
"19",-420.638149333822,-418.060395943163,-416.830531508437,-416.204747829637,-417.312343067958,-416.2037931125
"20",-428.427996459321,-430.886289505546,-431.683321712705,-430.26939426466,-431.683322718631,-430.269415279793
"21",-435.707855899342,-435.596299276864,-435.578632758599,-435.579492708006,-435.578639342222,-435.569424526948
"22",-430.303940656757,-427.082630531805,-426.455017517019,-426.097855006002,-426.455018127061,-426.165940657082
"23",-408.168781873227,-404.334695175225,-404.58099624615,-403.517119064852,-404.580999219316,-403.517038544975
"24",-415.043203542975,-415.039092593813,-414.533622956113,-414.533457219124,-412.121734364672,-412.123065750127
"25",-430.196739527399,-429.682607246854,-429.473452526148,-429.471642376654,-429.405929680791,-429.386373868513
"26",-452.974963597619,-452.874400026989,-452.803880832065,-452.816665619553,-452.521076300924,-452.5186464031
"27",-404.835686304928,-404.275323289812,-404.332992127489,-404.275090147293,-404.333361979006,-404.275109502753
"28",-427.837579193275,-427.837565322657,-426.465277755368,-426.465670094815,-424.933024708138,-424.93260514924
"29",-426.394275942082,-425.834698618285,-426.107305346687,-425.834621688699,-426.107461617182,-425.83458929683
"30",-418.325360516531,-414.713366596561,-415.811012455297,-414.71377648545,-415.811324747317,-414.71343053194
