"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",853.744970209273,854.554388025358,854.856077737716,856.554669591736,856.855941914847,858.554785628044
"2",916.710980865572,913.136352702384,913.727629999893,914.761962997747,919.665964791523,916.611589234349
"3",873.825391810784,868.320900585027,872.503650543828,870.320218915447,874.503224047792,872.317382649778
"4",812.592868147719,812.434837799789,810.480501369642,812.379061486432,812.493180099899,814.257149482815
"5",860.299845395607,856.755986626145,855.039152096736,856.999944375922,857.039318555955,858.97455216515
"6",862.911504277241,852.254143250204,853.491718095506,851.93599920892,855.491538090755,853.935618938753
"7",901.3848210441,902.665157354276,902.979445348588,904.665522808774,904.979444738532,906.665237163744
"8",864.186592828779,865.073755206997,865.154335483351,867.073859353329,867.126570520928,869.126584566357
"9",860.873157579742,853.235125748083,855.585470117388,855.111705946462,857.585512633298,857.111339356426
"10",839.175968320351,840.351944164852,840.508161125024,842.351799551156,842.508279062003,844.459443323511
"11",802.442525578576,801.692915623152,802.116478340302,803.643364421925,804.11716331818,805.653931493211
"12",895.204208729911,895.553839416685,896.043305517152,897.553349997091,898.043952145477,899.553702830677
"13",778.094110665568,776.633775060327,775.792293509929,777.787833260486,777.792369553376,779.793236281569
"14",897.947244516886,896.968510910844,898.486329870079,898.948985955892,900.486348996069,900.949899749672
"15",887.899013804225,889.518764336568,888.665095897066,890.664951372925,889.465434777192,891.453354272416
"16",852.875672899751,854.875482268492,854.874889851791,856.875970663979,856.622677236929,858.622820565425
"17",894.168538823176,894.199756364844,893.434966022721,895.434975565186,895.366222967617,897.297913387781
"18",894.508321026505,894.191523416942,894.790440865875,896.188799271528,896.792819845101,898.189004337758
"19",888.707620538061,887.67364353487,887.336132727689,889.285029758952,889.334829276439,891.283989596334
"20",874.063890651185,867.884829898447,868.963882934153,868.244009775535,870.966124387005,870.243899170919
"21",892.150353305021,891.640693073745,889.472118121446,891.471326955869,891.471344032041,893.395219554554
"22",850.687999023267,851.853579146181,851.949679963787,853.854358236032,853.951436591263,855.853573382906
"23",804.444299322206,804.276243976729,804.606514282129,806.237925892843,806.606487150596,808.238654147818
"24",877.570925036399,874.062148736484,872.614827274585,874.176111882827,874.614439087915,874.303532562467
"25",793.122079370064,792.680254270248,790.656927312352,792.659318154167,792.635447996022,794.190362699166
"26",855.450240353478,854.041617867006,854.748475268802,856.041635073734,856.748468314171,858.041629693176
"27",832.812883349363,834.277572302737,832.253727024023,834.252576390084,832.218459567117,834.218626723396
"28",835.829680842466,835.535835142158,832.985297656937,834.979443442246,834.307744532324,836.367183312703
"29",797.347810398962,799.313397149157,799.298845415246,801.309676375142,799.475314800569,801.475309844895
"30",856.390369330021,851.950349695377,855.11449528781,853.95046375934,860.403159797811,855.950005130666
"31",866.000876526971,868.000358928539,868.002302512517,870.000961172045,870.001008286232,872.001294542407
