"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-879.126827236955,-875.606933684751,-873.341615304863,-873.341161350738,-873.043953978671,-872.825342818049
"2",-898.863987210616,-891.249373745576,-893.972838912534,-891.249034302322,-893.97207601539,-891.249553410177
"3",-915.856539951709,-906.725905927743,-905.735829477465,-905.551662883656,-905.733817711967,-905.594859021935
"4",-907.433292065975,-900.252261085526,-900.069875380681,-900.01054733775,-900.065772886025,-899.931579474181
"5",-884.614621608697,-880.468608308798,-881.12412140649,-880.472774419113,-881.125295495054,-880.468434337329
"6",-963.15565043676,-957.031444643163,-955.900686879476,-955.95137440181,-955.899788758971,-955.925911156237
"7",-864.244482450299,-854.398382655201,-855.901081755659,-854.159013829806,-855.901160184111,-854.158642305073
"8",-873.979480217722,-870.899335709338,-870.425317093938,-870.425156636462,-870.432213335599,-870.425826193845
"9",-949.323366627879,-940.978357270624,-940.673098592014,-940.54495745439,-940.672637258551,-940.542628603566
"10",-916.557537224206,-914.306855774882,-913.992063131926,-913.985286394028,-913.992071582233,-913.985053557629
"11",-890.251757781545,-881.661040516878,-882.043183563867,-881.620670988336,-882.043334056821,-881.504211979983
"12",-941.13850878234,-937.073633975977,-934.862806714754,-934.862645584903,-934.721449152684,-934.638896563359
"13",-868.554936100711,-860.707207368309,-863.997916777772,-860.705537757122,-863.998390555894,-860.709625809774
"14",-902.396598078397,-894.379497731709,-895.16090430215,-894.349742395358,-895.159017824549,-894.349967243603
"15",-902.979783091205,-895.306033840095,-896.017257493219,-895.239152764688,-896.015626198947,-895.241499985381
"16",-926.930608176122,-917.927870637078,-915.808415315187,-915.758529079087,-915.80630359828,-915.683703696526
"17",-897.175090149485,-890.468879604721,-888.735891359851,-888.769975674556,-888.659426981174,-888.326026681462
"18",-887.037094042659,-885.246257644878,-885.204342630491,-885.199829716221,-885.199958231549,-885.219065501539
"19",-920.655212633976,-917.05441428005,-917.13882301058,-917.056126269104,-917.138720745462,-917.004311234797
"20",-942.27672486976,-930.005475017234,-930.396078818106,-929.667997637601,-930.396099498292,-929.601435267612
"21",-931.652727987166,-926.153994978022,-924.668881372155,-924.636257766936,-924.668859550093,-924.644253673398
"22",-918.475295974151,-907.974215979254,-905.28176910334,-905.044185827346,-905.279186202334,-905.045194775363
"23",-918.462037450259,-909.753255463316,-910.798254544624,-909.614745526412,-910.797733717377,-909.616583578578
"24",-881.469717030893,-874.372410631368,-874.257392144802,-873.616856591105,-874.255459324637,-873.614867576907
"25",-893.206780626134,-891.12679177697,-890.229013802592,-890.229056363477,-889.660544882942,-889.659208704294
"26",-847.639078762894,-845.335150891052,-845.578004799616,-845.334898582497,-845.58508457869,-845.326434286123
"27",-922.540763748232,-912.62681302178,-912.276584411443,-912.27645451797,-912.259352662834,-912.259247529056
"28",-939.982404814902,-935.097981811464,-934.389526915101,-934.397026220929,-934.398146961086,-934.386336700666
"29",-877.639447424647,-869.948007074194,-868.27064453504,-868.168191003382,-868.269190193433,-868.166820413796
"30",-883.261048861581,-871.133536697186,-870.562610527845,-869.204858730107,-870.562620412088,-869.205251042054
"31",-887.800241659471,-883.59275686472,-880.456068650537,-880.456105989728,-880.349140704111,-880.049432163012
"32",-962.574184991855,-960.864992650274,-960.088502924928,-960.088367643814,-959.48327095773,-959.257795923756
"33",-923.518708985252,-914.82047848852,-914.722820521476,-914.243233904296,-914.711282020553,-914.24444108242
"34",-888.866694778069,-881.133122145872,-879.119845403157,-879.082390626816,-879.119910297898,-878.966300692886
"35",-1005.42120228037,-1000.6204641586,-996.123908151027,-996.123879966191,-996.13840810613,-995.932466394892
"36",-911.577559533185,-908.438058056412,-907.379317966774,-907.38009289826,-906.589193534238,-906.589291881964
"37",-946.417570094972,-945.614070927548,-945.004126606518,-945.003666067735,-943.977086509883,-943.976900017484
"38",-895.930902643027,-890.920669364629,-891.953390832343,-890.920050512705,-891.947595817997,-890.92393441262
"39",-935.561352610016,-925.288533703468,-924.039812314517,-924.039812784401,-924.046720592362,-923.876318182196
"40",-896.640413190018,-893.568000546172,-893.514251211699,-893.451958266342,-893.51318874029,-893.452238202503
"41",-895.045048881453,-890.290761721181,-889.494164591635,-889.487783969013,-889.49346694584,-889.469455177421
"42",-927.712314207578,-925.812507199304,-925.249261046333,-925.249107327859,-925.138464372678,-925.139297625435
"43",-915.201166535653,-913.751312910727,-912.191692970654,-912.190347370114,-911.467305944977,-911.465690565882
"44",-944.128926551645,-935.467431461921,-934.949707247891,-934.643853277596,-934.949480037194,-934.64737248094
"45",-898.838490223837,-893.000578361291,-889.877339615783,-889.881599894354,-889.632060995463,-889.634377866879
"46",-991.671934952683,-975.137215096155,-972.285724110931,-971.906542285545,-972.290488501957,-971.902866708217
"47",-953.315097332573,-942.168084664259,-942.360242347596,-942.198686515442,-942.36293188666,-941.900403890571
"48",-868.204172476861,-856.458578301002,-858.56034238891,-856.418329363704,-858.560457591245,-856.412605114548
