"","(Intercept)","beta_1","alpha_1","pi"
"1",0.742324637761479,0.255740090374556,0.384921181658487,0.44025240212811
"2",0.456531551081949,0.275705947240617,0.469092799319435,0.381074188146891
"3",0.702423260777429,0.324123427252508,0.351720216323484,0.484800491723092
"4",0.518498593280702,0.284188214309543,0.455577517737405,0.426195259131048
"5",0.54278293827157,0.268575171842095,0.481950866579696,0.398363666008697
"6",0.49239544303021,0.291942381277699,0.468030748059941,0.341583569080876
"7",0.983636008307054,0.263019005262693,0.234846409042399,0.33958514717455
"8",0.732607305440738,0.30031479423104,0.349939876594223,0.393244154264092
"9",0.576803494016244,0.323734503028076,0.377135232909757,0.391743209315813
"10",0.577473955475595,0.325687716270597,0.364228542776126,0.421325644437296
"11",0.582508100299235,0.293089075893009,0.400333465534312,0.405567559076917
"12",0.459932177637845,0.335397824593678,0.413746777324515,0.377491990880863
"13",0.760562600172682,0.305269701107555,0.331684414602948,0.382214108837809
"14",0.48413865857238,0.226367966910454,0.528608071037471,0.430324992314629
"15",0.690273961217041,0.280848232786198,0.377623838626145,0.378770537628052
"16",0.694678237305013,0.283243673397302,0.38673920419065,0.411460160137866
"17",0.639337027942198,0.30031168258407,0.383621320497879,0.402511796587232
"18",0.621070328009191,0.315434045075612,0.396190949294772,0.462385414633283
"19",0.542739876149027,0.301060156783816,0.432367408825047,0.427019889764599
"20",0.970889261488687,0.310685447417046,0.177962075368887,0.40211028715977
"21",0.626069618995957,0.242847553989329,0.468069137308111,0.425595925216803
"22",0.620407243640959,0.321808408630412,0.377830408986963,0.440940758902568
"23",0.543914104744469,0.293145943731192,0.429711579797014,0.440969240147109
"24",0.521735472691974,0.353324214411596,0.37169393529391,0.391778880333059
"25",0.792189326851552,0.290478218489825,0.311565094355893,0.410245453933125
"26",0.537328116369657,0.332927081162457,0.394461058053041,0.382694204030125
"27",0.672644421199065,0.339544205449715,0.35549937076091,0.30473045977191
"28",0.686506793906772,0.248013739880477,0.399350277120425,0.379721538007518
"29",0.803372432473463,0.327397639143376,0.269487681209247,0.40768974417947
"30",0.628452533888825,0.286087671152873,0.398369418569986,0.393632546161121
"31",0.616549880195322,0.27365328952461,0.403016733251176,0.362346545671619
"32",0.707597543689374,0.257004070795602,0.373671182043892,0.483752957630578
"33",0.484433025944767,0.298212076035033,0.473241796952765,0.364730746243277
"34",0.95198088591735,0.307039562015928,0.232895082334664,0.342575952058889
"35",0.655624196365309,0.349349766642076,0.332919383759802,0.400915301635963
"36",0.721008902122716,0.320127353528745,0.327351159285799,0.397380960316341
"37",0.642443224284958,0.263701821478395,0.410543109157524,0.445896377739933
"38",0.794023253286639,0.284623986962759,0.327093143581454,0.369458357696337
"39",0.522310911519365,0.268003330994605,0.449466470892485,0.411577074201733
"40",0.54697181954665,0.271514581113998,0.44990034566072,0.480026681791963
"41",0.738604265779512,0.32347039794425,0.301175421482634,0.399229719964611
"42",0.487203650509931,0.30669609070232,0.457288427867061,0.351693356293804
"43",0.466906388747013,0.280797500183588,0.487726597909854,0.39015727066527
"44",0.595892826388254,0.253050210750148,0.420682256334504,0.465502466903665
"45",0.939124962629192,0.283616991555428,0.226336737240887,0.498804363965444
"46",0.587138891393306,0.328813770743725,0.372166439776755,0.332745757883736
"47",0.634903317139734,0.302561503059986,0.383860038418107,0.331807071550633
"48",0.568768431310809,0.230459067664871,0.479145951945062,0.332581351938254
"49",0.631552438887287,0.240699344570105,0.440348493925311,0.436739481868411
"50",0.794138792866576,0.292347342795672,0.299596738561284,0.457984239864073
"51",0.47703521518145,0.27957098688513,0.490083020952521,0.390947761145643
"52",0.528467321819061,0.257400316586996,0.449089088862094,0.385406720332192
"53",0.633282980916967,0.290649545483371,0.375048512978055,0.407827632139065
"54",0.561197889831,0.320623359955026,0.403732736390056,0.433410329426528
"55",0.798125261466791,0.34434944239199,0.285801552086881,0.442471601585605
"56",0.514645036459159,0.291891178492946,0.453684567124099,0.401900153917491
"57",0.639473295566832,0.319511519274567,0.34039233277457,0.379335203689651
"58",0.611987025376102,0.352404918297719,0.368750769749975,0.372551000356393
"59",0.433723664540834,0.293852783107296,0.508560989370046,0.387815686634586
"60",0.776413046719881,0.305761488178713,0.291204776236442,0.389797723959114
"61",0.551596021612916,0.291683629879125,0.394735718664389,0.433912217131663
"62",0.634173878297423,0.338356850601563,0.371961749654368,0.439649962552576
"63",0.608921814985264,0.291407408259702,0.452254927947816,0.386111345839591
"64",0.530796175061082,0.301567061894724,0.421112139747738,0.390635093809068
"65",0.511667381760282,0.28146875697695,0.459306653055616,0.349571959458139
"66",0.687259032800884,0.322374809400111,0.362283814824461,0.475756169287884
"67",0.360177015153415,0.212744583352925,0.620125929886595,0.371356007695888
"68",0.838991614108954,0.307330154466143,0.261158829795562,0.464781815050507
"69",0.557304582925507,0.305183282737266,0.384023037164502,0.391865110804923
"70",0.665521707188876,0.387220438379114,0.303510087546809,0.320432376285656
"71",0.581120358867163,0.358587856099519,0.357111490958913,0.469923653302634
"72",0.741589211985602,0.295421245640036,0.320250646840685,0.345435839428129
"73",0.539973082848374,0.297341735298075,0.399168556824883,0.359403190668018
"74",0.606241362301147,0.291821639369933,0.411446618677219,0.420241716449303
"75",0.570815079905239,0.346998398121377,0.359182374017448,0.361405386049106
"76",0.648881510018454,0.280386467661679,0.382415661718522,0.447248667181297
"77",0.827599703058714,0.328678889745164,0.264482069576089,0.446755518706943
"78",0.736259476195717,0.299439558123716,0.315749055043865,0.389233495749254
"79",0.761352972160274,0.296417896955089,0.333406912314315,0.380708491613861
"80",0.432709597964405,0.229872597148388,0.561593803360406,0.447419622930187
"81",0.501333793339699,0.291973282934284,0.450056390079854,0.442594071037193
"82",0.818385863347002,0.298272982019972,0.256824771045553,0.38954977437191
"83",0.848720371134939,0.320747381170529,0.297012910566166,0.434531977723037
"84",0.811026249442748,0.318028407641887,0.279590098051578,0.368536328195315
"85",0.998737892012509,0.327063111798397,0.225468840668609,0.440233999339182
"86",0.714881960257283,0.299486722836494,0.343716696545797,0.333698323524307
"87",0.718779815447957,0.320933337669026,0.341632992174112,0.396160221518686
"88",0.465523135379181,0.291767600292095,0.484968955456348,0.361611445691893
"89",0.657739991589228,0.286858557255256,0.410748070211094,0.331731223941415
"90",0.971262268222318,0.324795725499478,0.209980150888849,0.4584064009188
"91",0.646885054201498,0.281048191305787,0.372320882875485,0.399439391996171
"92",0.528018482797192,0.262940121226652,0.453861680928332,0.38018814480801
"93",0.729316530696102,0.288335310792953,0.362767151123815,0.361616459103679
"94",0.43952577216498,0.250561453015446,0.5282333018222,0.455707869507409
"95",0.638469389218305,0.259353085449035,0.399940825212705,0.399918097844035
"96",0.767466416658803,0.301864194760971,0.34752104965399,0.461266265186176
"97",0.473806080973108,0.244205724198947,0.49728747240438,0.360537783284514
"98",0.660060209911624,0.293259932622145,0.331660985685287,1.0216333102757e-15
"99",0.617125614505795,0.336127787066126,0.36719573319204,0.36255302364202
"100",0.681026731834861,0.277737856853609,0.383209368137059,0.413546677705562
"101",0.727165634086875,0.298468634386672,0.301293534509013,0.403592727211479
"102",0.47990833516186,0.276080242711398,0.460326055646214,0.40725811554324
"103",0.615388396533045,0.273174574871602,0.395822112575225,0.408446686321662
"104",0.748652771318789,0.293617737133685,0.266539778753555,0.286990122290268
"105",0.493762148618334,0.299467233586506,0.458318608982127,0.351579216723226
"106",0.733630304677012,0.369480609870163,0.292095125987094,0.369126545628319
"107",0.480455475966969,0.288385123875809,0.459197188537253,0.417659362794461
"108",0.614547471362002,0.285405030238121,0.386782109478427,0.425066307150567
"109",0.606285776495015,0.329765969920287,0.365565575112832,0.452430318319758
"110",0.557489695907777,0.320241358950701,0.433410304284094,0.39738378095984
"111",0.484021348311512,0.292559885212055,0.475889925690473,0.356890232700429
"112",0.725903118264951,0.23470785866314,0.387960933605926,0.291798089941336
"113",0.438005159152077,0.315094014218891,0.469641776644676,0.359371312141037
"114",0.63097460438223,0.271680509827,0.430251910583609,0.339218892495109
"115",0.571175920983508,0.311676207075631,0.399405650031449,0.435208348301481
"116",0.75442071070463,0.271012205508794,0.329554204548751,0.4371108138742
"117",0.741813102896588,0.322657258740356,0.296630555267415,0.318874992218735
"118",0.43367777811027,0.315869838401933,0.473964691398214,0.385876746370159
"119",0.491248885850123,0.278796775867295,0.495083656950379,0.461131545005231
"120",0.511353745508227,0.289640695057236,0.453698625505039,0.409058660783451
"121",0.52904683287257,0.287392214605383,0.42051691304864,0.426204962072322
"122",0.570318160389255,0.301853154097024,0.412286581100404,0.397572666616675
"123",0.450399021512354,0.262439491630332,0.497540914295753,0.472393716519503
"124",0.536247095947383,0.316555266427408,0.402043390973696,0.441145568736717
"125",0.590839854822784,0.330694080198002,0.380856499733385,0.47787674616083
"126",0.515589521964382,0.260079421806232,0.478960913471497,0.429416572044218
"127",0.717364471938086,0.257128028570869,0.329615686808107,0.428403856552103
"128",0.56794005483548,0.307960663340575,0.41842940605059,0.412237632334081
"129",0.702078594891416,0.288881619617383,0.36811875719429,0.41246797440466
"130",0.405094049527026,0.207738008942066,0.565328469890257,0.424318624204757
"131",0.457075499040644,0.23614595217549,0.512775496902149,0.382336874186472
"132",0.514800107113182,0.280677506958951,0.480165482999613,0.446788885289751
"133",0.594224848838097,0.299323988040931,0.375787499746996,0.349225422212849
"134",0.608649445438737,0.337465917646646,0.360926108796027,0.327740330648834
"135",0.65340346504167,0.326516343706443,0.378325839173372,0.458654797462694
"136",0.441098611057575,0.198865280872122,0.539847622689793,0.390736453176801
"137",0.941037651546941,0.3285722174344,0.215690546965667,0.345546882054712
"138",0.577145336238031,0.258295874151301,0.42747331763581,0.364327692702603
"139",0.914571777159224,0.301234573258978,0.211991979828389,0.36943981532554
"140",0.606176157475679,0.298031015663723,0.399494756254661,0.400255090782313
"141",0.854688993715729,0.31173605782664,0.267339563355907,0.39995998260567
"142",0.603859712192847,0.260591052485587,0.428004781723164,0.392618334926037
"143",0.719228570053984,0.321925172636579,0.323887680133669,0.445862621611208
"144",0.676273609445314,0.24667753900631,0.404044704170479,0.416085860011449
"145",0.483534606654912,0.254767829475509,0.507315353556559,0.367677654867625
"146",0.555824620471595,0.311971216501144,0.426073181020819,0.376807163871591
"147",0.566694380441649,0.314782443379945,0.410160478679041,0.46224160808065
"148",0.859402857103894,0.307551759088789,0.27425412193909,0.36444565527077
"149",0.489309326143173,0.217887430754774,0.51524221879658,0.361967824957127
"150",0.574222611905301,0.314181440526135,0.419485296004511,0.43039500859399
"151",0.666580882972965,0.29964206241494,0.329941076141818,0.389416213922948
"152",0.655087820482782,0.374194472485118,0.324946095784505,0.420741837731543
"153",0.821237727440759,0.3517937722627,0.250442121273039,0.366557873613686
"154",0.477271798772429,0.315764207671841,0.455683260451139,0.430000700156937
