"","INGARCH(0,1)","INGARCH(0,2)","INGARCH(1,1)","INGARCH(2,1)","INGARCH(1,2)","INGARCH(2,2)"
"1",-1779.44481957961,-1771.30371553805,-1768.96608154358,-1768.96608713607,-1768.91417488132,-1768.90072448236
"2",-1762.09155038051,-1745.4863508603,-1740.18574527506,-1739.82842746847,-1740.18544312453,-1739.82836127083
"3",-1846.7563374475,-1830.79742709635,-1833.07081351939,-1830.79805468001,-1833.06931295925,-1830.7843132602
"4",-1774.74004050581,-1760.36052960802,-1760.55803883692,-1759.7731944413,-1760.55772028246,-1759.76985765196
"5",-1807.34810627195,-1797.69359457117,-1795.2506541721,-1795.25064786854,-1795.24030211432,-1795.24263153054
"6",-1800.45214024836,-1783.53136003506,-1780.8738521036,-1780.86980067635,-1780.87368181123,-1780.85045666174
"7",-1777.51533181845,-1773.53222696316,-1773.10951607216,-1773.11145139071,-1773.09649152056,-1773.09731589238
"8",-1822.33886645321,-1813.67137452031,-1812.03688972932,-1812.03819035015,-1812.02644833614,-1812.02081023529
"9",-1747.94326767033,-1729.35763562482,-1732.02163428819,-1729.31757495798,-1732.02320745485,-1729.31773066298
"10",-1758.62365158977,-1744.1832837789,-1742.40548324305,-1742.32564533704,-1742.40375838213,-1742.34123342147
"11",-1769.50496927311,-1761.25787899548,-1759.15279647189,-1759.15375107791,-1759.08536677996,-1758.91087191769
"12",-1718.44792123109,-1703.01741163497,-1700.09858495519,-1700.07728305131,-1700.09868504926,-1700.08573412084
"13",-1793.39314618305,-1785.97122935671,-1785.85399055263,-1785.57344254503,-1785.85343504802,-1785.57337049062
"14",-1790.82656570104,-1778.26238602173,-1774.14799866114,-1774.13284126199,-1774.14802702139,-1774.09419522548
"15",-1793.05513622636,-1781.66710879796,-1780.03409204365,-1780.03411064564,-1780.03333568751,-1780.00304599423
"16",-1820.24771070019,-1810.47564897271,-1809.36345770321,-1809.36338461037,-1809.35519523797,-1809.35508053111
"17",-1768.29329161275,-1757.67774650767,-1756.54698018405,-1756.52178155535,-1756.54701594615,-1756.50164515383
"18",-1830.96558758934,-1817.5116908582,-1816.10379275369,-1815.74506397666,-1816.10385904146,-1815.74511771681
"19",-1818.89230711371,-1808.03535823252,-1808.01279246352,-1807.57452083275,-1808.010819914,-1807.57381119666
"20",-1755.17368706316,-1752.28456432184,-1751.37575390153,-1751.37665156035,-1750.25928889391,-1750.25991787117
"21",-1837.79224575669,-1827.15511917092,-1824.36889993653,-1824.23711292976,-1824.37070548301,-1824.23928034308
"22",-1801.96480094218,-1793.37023486283,-1791.72728592493,-1791.72870595572,-1791.71195200246,-1791.70116009084
"23",-1783.48540607334,-1769.95036420729,-1767.76591543325,-1767.75238156183,-1767.76599422027,-1767.57863750614
"24",-1795.9203324047,-1777.73764034818,-1774.81458513328,-1774.73678592722,-1774.81488946332,-1774.73723166214
"25",-1796.35243243416,-1785.92467935304,-1784.1666356842,-1784.16660880051,-1784.16645754868,-1784.16847286674
"26",-1770.45779158615,-1757.84096739046,-1755.61917385747,-1755.44681691338,-1755.61926533877,-1755.44704960645
"27",-1795.61011192301,-1791.11873806219,-1787.79302248783,-1787.79272924492,-1784.93934118349,-1784.93988681725
"28",-1774.45599159768,-1767.24414929533,-1765.00297536808,-1765.00220619189,-1764.99826750797,-1764.98390416133
"29",-1794.89915081746,-1781.21110573539,-1782.56846243117,-1780.93943726238,-1782.56720960224,-1780.93869100123
"30",-1741.41595721024,-1732.12222736375,-1730.10242486886,-1730.10239569434,-1730.03342947875,-1730.03392283741
