"","(Intercept)","beta_1","alpha_1"
"1",0.181857233464205,0.0417490313937197,0.124057539846114
"2",0.0760265300414661,0.0337639119245301,0.0638167459562769
"3",0.0532055025345256,0.0311666709896005,0.0462829326011319
"4",0.238462834277237,0.0445639355222185,0.163435013070303
"5",0.232290670118014,0.0481817560970339,0.141923567359093
"6",0.257319094450113,0.0440272549175421,0.164230082444303
"7",0.255398747914136,0.044495635290266,0.151432317310356
"8",0.206990073161219,0.0452908558968003,0.139380812626064
"9",0.318157491372874,0.0447419998492884,0.179548497914227
"10",0.236963243223614,0.0433494510921526,0.152906304984824
"11",0.224107777324792,0.0420550241123945,0.159109607960733
"12",0.18532640790329,0.0438040417142504,0.140654354790866
"13",0.0494577548122943,0.0319399480906428,0.0458647294550938
"14",0.274337950676339,0.0456160060928904,0.184680882739807
"15",0.275253301637122,0.0473460520335091,0.161839437163741
"16",0.149876408782593,0.0410677667506801,0.10546577217221
"17",0.225442551819578,0.0437589938581445,0.140035366308622
"18",0.207378176781131,0.0431283026849145,0.144856271448696
"19",0.267113598299008,0.0454640602263859,0.165177662429119
"20",0.160442778741556,0.0438619667452942,0.119048295944763
"21",0.471721882163854,0.0439897431073425,0.27105019548872
"22",0.29212015232904,0.0433227826243649,0.201515752868
"23",0.253989527632711,0.0451423199664443,0.17294354995867
"24",0.154638640280844,0.0441549530874829,0.112364865765096
"25",0.238324611701592,0.0425049214903368,0.17211445923244
"26",0.213019246712756,0.0400587491895368,0.14999524929316
"27",0.349723078468275,0.0457073301977455,0.196022279262938
"28",0.194206244478298,0.0438478576310461,0.129477084794929
"29",0.137207532451922,0.0391647241684069,0.0964632804557565
"30",0.210745362754975,0.0455244994538575,0.134450888478122
"31",0.370394002447585,0.0451186753551617,0.231956844316915
"32",0.508459659958203,0.0453594997133696,0.295645085474171
"33",0.341153968088977,0.0428907157618897,0.207451926741552
"34",0.25604797430295,0.0434249138936051,0.163826721908662
"35",0.352877780754848,0.0454038442218762,0.207057295537496
"36",0.236111264712717,0.0430705167040955,0.155794196153139
"37",0.231669349645763,0.0438760298461349,0.156423972620646
"38",0.238910436364938,0.0463745523760461,0.146640987267493
"39",0.25737574870199,0.0440222193783317,0.183716796707126
"40",0.177199366572349,0.0428148050010451,0.117585578664988
"41",0.344924911209455,0.0422720823998189,0.217055768072107
"42",0.25681859947887,0.0426218783345357,0.164880284268353
"43",0.289948579776986,0.0467274656301126,0.173505110826384
"44",0.34398104860569,0.0455357275503866,0.20939991654643
"45",0.307610527596836,0.0432661201971554,0.196052182320704
"46",0.220988750473732,0.0439583955756962,0.150911336606334
"47",0.167025038839232,0.0412244468262467,0.105820057993973
"48",0.194597898648199,0.0470505192623588,0.128883470648365
"49",0.233138341408912,0.0422428781128963,0.146607760861151
"50",0.302214052733693,0.0460827297178067,0.183341608031393
"51",0.391531175772589,0.0467912851286421,0.246269623862454
"52",0.208536877240574,0.0451754194525408,0.147848544318408
"53",0.253348943592284,0.0445997711536851,0.151621344559661
"54",0.390706309348433,0.0476997082225687,0.241268218291433
"55",0.294510875117686,0.0464466648387876,0.183349606812887
"56",0.459391121095615,0.0448506891640884,0.275418701391666
"57",0.229513235348148,0.0442791943083495,0.151661192702097
"58",0.119516698017268,0.0406125641657731,0.086343842514077
"59",0.222519522595795,0.0438867018690968,0.139396827061799
"60",0.229981887206996,0.0457418329522414,0.142266937952622
"61",0.285811509025865,0.046221934126126,0.179188226261349
"62",0.261734890570612,0.0436897786095359,0.172471442642191
"63",0.207402567630912,0.0455628463600557,0.133045156380832
"64",0.206007239910508,0.0434627760939928,0.137306894777894
"65",0.146173848774443,0.0445051271141802,0.107218757586135
"66",0.220461228996201,0.0452790920344375,0.143619840106526
"67",0.2652413068796,0.0431986116793056,0.173667024285267
"68",0.287213322899464,0.0428187209210641,0.18875234064692
"69",0.276059996977682,0.0436498427899932,0.170542730161174
"70",0.316913103586539,0.042778036839387,0.206474329135074
"71",0.332094122487795,0.0461110010366595,0.206324308395878
"72",0.228755264576619,0.0427281249340712,0.144957795386589
"73",0.193292437863604,0.0451453895620551,0.135886166771413
"74",0.201105326327185,0.0408190042939645,0.134540286627713
"75",0.375772146910584,0.0423872950136809,0.21142266443852
"76",0.0981696020442957,0.0350199535674654,0.0686498329548581
"77",0.255602058118134,0.0414299441759804,0.167964855199585
"78",0.252612464194557,0.0460457155524332,0.152705317999337
"79",0.21945422182984,0.0458036007681782,0.139081168234037
"80",0.138910438488233,0.0381788318460343,0.0954900348341964
