"","(Intercept)","beta_1","alpha_1"
"1",0.138043879056883,0.0353368170459845,0.0922707069175484
"2",0.170265358587679,0.0363832008334382,0.110417055933133
"3",0.0986452814049523,0.0280569631878004,0.0537737125418026
"4",0.118473765919298,0.0364774750123862,0.0762198962172492
"5",0.119497661431556,0.0355710652020045,0.0783704362795692
"6",0.139002846452977,0.0298261749527806,0.0683835864697008
"7",0.110293601291873,0.035681732160529,0.0782494424179274
"8",0.136719376988227,0.0365459413011764,0.0858477344029349
"9",0.099565872868352,0.0290983849594458,0.0538088359600806
"10",0.154456736898847,0.0365836388856193,0.0912602389021515
"11",0.0907591476651001,0.0290063388295181,0.0517764807321945
"12",0.140281716235311,0.0296893955297558,0.0760827803885255
"13",0.153384565254923,0.0349210565941671,0.1130052372653
"14",0.121902615554579,0.0366067572774408,0.0785029931744003
"15",0.117255124094497,0.035500778659432,0.0748910121359073
"16",0.123796050945786,0.0287249744788542,0.0659225668321819
"17",0.128955243073059,0.0317512390356955,0.0660026575205129
"18",0.150742302684839,0.036755363007058,0.0900219592329879
"19",0.120632359575544,0.0298827486944989,0.0590099660123165
"20",0.116803762794704,0.0296040817142043,0.0625903584165418
"21",0.148621064799074,0.0304378226119651,0.0749151827779063
"22",0.118725298308817,0.0352476784837625,0.0750690140002058
"23",0.129796231763676,0.0355662120609943,0.0802401948841858
"24",0.15792784412569,0.0368565239795154,0.090928502780152
"25",0.136740015241009,0.0360181800051622,0.0818775366428655
"26",0.0964140611294993,0.0361539657960113,0.0635238299406127
"27",0.114833289369686,0.0302170471677949,0.0635593976884174
"28",0.12280579024884,0.0301659439047279,0.0595917721468984
"29",0.119821125678133,0.0361637053711604,0.0756186421376952
"30",0.12470767187819,0.0350685868361081,0.0848811256225126
"31",0.115490524520364,0.0338128752373288,0.0770829024036912
"32",0.174735595535167,0.0311967638401287,0.0854748081792684
"33",0.108664146719293,0.0299750223798143,0.0616826919483089
"34",0.130988229764749,0.0360976085881272,0.0883885047380088
"35",0.146631820271337,0.0292772983102298,0.0684121428595082
"36",0.119225346722123,0.0350737612046408,0.0746906031027369
"37",0.169022502648263,0.0324155611213422,0.0777156935722257
"38",0.14779812269211,0.0363261264972635,0.0878249500227554
"39",0.091619121624927,0.0281920904623478,0.0543405358163413
"40",0.167961505002808,0.0357256012511132,0.102249968251052
"41",0.127079357620308,0.0311587156669475,0.0686372451505425
"42",0.195140014313307,0.0362969864464498,0.117411005069543
"43",0.136028307045128,0.0295927086508487,0.0693168723973594
"44",0.128528741754841,0.0304024113488325,0.0652484549138884
"45",0.102815410292375,0.0295553911009942,0.0590761349442289
"46",0.0985743234348355,0.0277497356399604,0.0517687031322364
"47",0.104458589468746,0.0288301879617076,0.0524575454579091
"48",0.162186576098751,0.0363198475469098,0.104597022139134
"49",0.120904960670817,0.0356125850366317,0.0843615637683513
"50",0.134069043162718,0.0366805836001785,0.0834084834457257
"51",0.0975641700853068,0.0285649050615473,0.0504804672637199
"52",0.158707588086544,0.030088265480318,0.076180963152914
"53",0.137816176688682,0.0308936940171952,0.0721388188725039
"54",0.107809512575267,0.0288903497787743,0.0547344125083866
"55",0.130291340867167,0.036932969279875,0.0867539676994948
"56",0.125510357799178,0.036029208461058,0.0775267803688059
"57",0.135715808178826,0.0314934591495317,0.0713825750607452
"58",0.162399391390947,0.0325947920625403,0.0813807150487926
"59",0.126931025455498,0.0301534092052207,0.0649335953694676
"60",0.101649778255114,0.0287464752962138,0.0578078795253271
"61",0.165757547937466,0.0368991289291103,0.0945919327781709
"62",0.126619987992255,0.0304513408527943,0.0679810615310645
"63",0.136465677827561,0.0356537817575244,0.087537543660355
"64",0.117007617670313,0.0303452053134994,0.0616729488811749
"65",0.150962564268465,0.0351958253714495,0.0880531402912344
"66",0.133033306148454,0.0363579296450227,0.0793533064509081
"67",0.147777983046384,0.0306513484315478,0.07886399115456
"68",0.138254166863089,0.0301617001592677,0.0650392189520526
"69",0.138104573936679,0.0362883289742001,0.0835098537922492
"70",0.127173274307628,0.0306009993638049,0.0642504279455989
"71",0.138419023632296,0.0364354269053683,0.087045496509915
"72",0.112737680939095,0.0298915210523238,0.0623488348577345
"73",0.0868691554272788,0.0287730167159965,0.0514936844666981
"74",0.131936480672151,0.0360686361259447,0.0809232100710329
"75",0.125463144227626,0.0364396328111212,0.0826274109714839
"76",0.0936826378484462,0.0347961795548631,0.0643426969927275
"77",0.123658873524996,0.0302178153959433,0.0602848934956303
"78",0.123040200445005,0.0357554094066881,0.0801207875851023
"79",0.141684930439383,0.0306874865018817,0.0705038347185487
"80",0.0922422600346502,0.0344127411056535,0.0671093632500033
"81",0.124859670733398,0.030631883934583,0.0600810464782448
"82",0.121296741760016,0.0365621669292934,0.0784615546809006
"83",0.121639471066254,0.0303184374064154,0.0636758776744058
"84",0.140048402984326,0.0370987540176319,0.0878161464775113
"85",0.18858792346043,0.0370706663505799,0.10625381303406
"86",0.151517908746103,0.0367011441732841,0.0912953752686896
"87",0.10613485059023,0.0286779720926626,0.0561093961107228
"88",0.189071095279273,0.037543444006419,0.120566351357954
"89",0.136975731421852,0.0300132494017394,0.0695425452132691
